19,1584,18,0,1
41,1584,40,1,2
63,1584,62,1,2
85,1584,84,1,2
107,1584,106,1,2
129,1584,128,1,2
151,1584,150,1,2
173,1584,172,1,2
195,1584,194,1,2
217,1584,216,1,2
239,1584,238,1,2
261,1584,260,1,2
283,1584,282,1,2
305,1584,304,1,2
313,1584,314,2,1
314,1584,315,2,1
315,1584,316,2,1
316,1584,1584,4,0
322,1584,321,1,2
323,1584,322,1,2
324,1584,323,1,2
327,1584,326,1,2
1306,1584,1328,3,0
1379,1584,1401,3,0
1424,1584,1446,3,0
1456,1584,1457,2,1
1469,1584,1468,1,2
1492,1584,1491,1,2
1537,1584,1536,1,2
1559,1584,1558,1,2
1581,1584,1580,1,2
1584,1585,316,0,4
